value	group
0.755033	Alpha
0.75566	Alpha
0.753474	Alpha
0.753583	Alpha
0.757987	Alpha
0.770922	Alpha
0.757236	Alpha
0.761946	Alpha
0.760831	Alpha
0.762511	Alpha
0.761894	Alpha
0.767903	Alpha
0.769499	Alpha
0.769145	Alpha
0.763718	Alpha
0.764988	Alpha
0.763106	Alpha
0.76416	Alpha
0.765298	Alpha
0.762716	Alpha
0.759542	Alpha
0.774358	Alpha
0.753968	Alpha
0.754212	Alpha
0.753881	Alpha
0.761153	Alpha
0.760996	Alpha
0.759746	Alpha
0.767313	Alpha
0.762558	Alpha
0.774278	Alpha
0.773318	Alpha
0.770729	Alpha
0.769963	Alpha
0.756347	Alpha
0.756602	Alpha
0.770746	Alpha
0.759504	Alpha
0.765973	Alpha
0.768074	Alpha
0.756418	Alpha
0.764152	Alpha
0.758468	Alpha
0.754664	Alpha
0.779544	Alpha
0.779829	Alpha
0.777036	Alpha
0.76416	Alpha
0.762936	Alpha
0.763468	Alpha
0.763902	Alpha
0.768824	Alpha
0.754537	Alpha
0.763874	Alpha
0.764429	Alpha
0.771205	Alpha
0.770994	Alpha
0.772991	Alpha
0.758952	Alpha
0.766646	Alpha
0.766845	Alpha
0.766403	Alpha
0.766405	Alpha
0.764397	Alpha
0.76592	Alpha
0.760409	Alpha
0.759206	Alpha
0.756485	Alpha
0.75844	Alpha
0.757342	Alpha
0.755654	Alpha
0.765966	Alpha
0.763831	Alpha
0.761689	Alpha
0.764917	Alpha
0.760967	Alpha
0.765222	Alpha
0.76409	Alpha
0.767564	Alpha
0.766838	Alpha
0.767067	Alpha
0.765721	Alpha
0.766423	Alpha
0.767134	Alpha
0.760401	Alpha
0.7692	Alpha
0.771431	Alpha
0.771924	Alpha
0.769963	Alpha
0.773868	Alpha
0.762012	Alpha
0.761762	Alpha
0.766896	Alpha
0.763505	Alpha
0.763909	Alpha
0.76887	Alpha
0.765235	Alpha
0.764491	Alpha
0.752639	Alpha
0.75382	Alpha
0.755196	Alpha
0.744434	Alpha
0.747141	Alpha
0.754244	Alpha
0.770924	Alpha
0.764127	Alpha
0.770489	Alpha
0.76421	Alpha
0.757779	Alpha
0.762382	Alpha
0.773218	Alpha
0.763573	Alpha
0.776384	Alpha
0.764866	Alpha
0.776436	Alpha
0.77828	Alpha
0.77826	Alpha
0.781412	Alpha
0.755803	Alpha
0.756549	Alpha
0.761778	Alpha
0.750642	Alpha
0.776396	Alpha
0.765649	Alpha
0.777185	Alpha
0.762763	Alpha
0.764111	Alpha
0.76168	Alpha
0.764859	Alpha
0.765458	Alpha
0.771012	Alpha
0.760746	Alpha
0.77057	Alpha
0.766868	Alpha
0.759486	Alpha
0.770006	Alpha
0.768164	Alpha
0.770271	Alpha
0.761629	Alpha
0.763958	Alpha
0.752418	Alpha
0.752873	Alpha
0.769797	Alpha
0.76984	Alpha
0.77007	Alpha
0.764173	Alpha
0.777045	Alpha
0.77986	Alpha
0.779374	Alpha
0.778651	Alpha
0.775414	Alpha
0.771961	Alpha
0.777508	Alpha
0.768482	Alpha
0.77298	Alpha
0.766518	Alpha
0.768427	Alpha
0.773724	Alpha
0.774608	Alpha
0.765832	Alpha
0.773335	Alpha
0.776364	Alpha
0.773375	Alpha
0.759689	Alpha
0.780888	Alpha
0.764857	Alpha
0.766791	Alpha
0.766696	Alpha
0.771422	Alpha
0.778571	Alpha
0.775188	Alpha
0.780174	Alpha
0.785295	Alpha
0.754978	Alpha
0.765825	Alpha
0.773401	Alpha
0.776241	Alpha
0.775886	Alpha
0.77018	Alpha
0.759076	Alpha
0.758276	Alpha
0.761711	Alpha
0.762645	Alpha
0.76041	Alpha
0.762852	Alpha
0.767794	Alpha
0.759852	Alpha
0.763573	Alpha
0.782966	Alpha
0.770282	Alpha
0.760253	Alpha
0.758295	Alpha
0.765524	Alpha
0.769798	Alpha
0.768663	Alpha
0.769351	Alpha
0.769896	Alpha
0.766267	Alpha
0.770958	Alpha
0.762583	Alpha
0.76343	Alpha
0.781988	Alpha
0.783207	Alpha
0.77669	Alpha
0.756075	Alpha
0.76699	Alpha
0.769123	Alpha
0.767116	Alpha
0.766064	Alpha
0.767231	Alpha
0.765622	Alpha
0.766793	Alpha
0.758551	Alpha
0.760201	Alpha
0.765054	Alpha
0.768009	Alpha
0.752645	Alpha
0.77299	Alpha
0.763382	Alpha
0.765694	Alpha
0.764477	Alpha
0.764967	Alpha
0.758876	Alpha
0.764933	Alpha
0.754932	Alpha
0.755741	Alpha
0.770719	Alpha
0.775362	Alpha
0.767065	Alpha
0.770189	Alpha
0.751146	Alpha
0.768235	Alpha
0.770988	Alpha
0.765148	Alpha
0.763783	Alpha
0.765471	Alpha
0.767043	Alpha
0.758535	Alpha
0.765514	Alpha
0.756021	Alpha
0.765725	Alpha
0.766615	Alpha
0.77432	Alpha
0.778582	Alpha
0.75941	Alpha
0.759703	Alpha
0.754957	Alpha
0.751031	Alpha
0.770533	Alpha
0.758676	Alpha
0.760708	Alpha
0.759871	Alpha
0.765278	Alpha
0.76467	Alpha
0.77595	Alpha
0.759643	Alpha
0.762092	Alpha
0.752087	Alpha
0.788015	Alpha
0.779008	Alpha
0.779415	Alpha
0.780057	Alpha
0.772554	Alpha
